I'm fine | [aɪm] [faɪn] | У меня всё хорошо
She wants to do it right now | [ʃiː] [wɒnts] [tuː] [duː] [ɪt] [raɪt] [naʊ] | Она хочет сделать это прямо сейчас
Learn English fast | [lɜːn] [ˈɪŋglɪʃ] [fɑːst] | Выучить английский быстро
I want to be happy | [aɪ] [wɒnt] [tuː] [biː] [ˈhæpi] | Я хочу быть счастливым
I want to have a good car | [aɪ] [wɒnt] [tuː] [hæv] [ə] [gʊd] [kɑː] | Я хочу иметь хорошую машину
I want to have a good job | [aɪ] [wɒnt] [tuː] [hæv] [ə] [gʊd] [ʤɒb] | Я хочу иметь хорошую работу
I want to learn English fast | [aɪ] [wɒnt] [tuː] [lɜːn] [ˈɪŋglɪʃ] [fɑːst] | Я хочу выучить английский быстро
I want to speak English correctly | [aɪ] [wɒnt] [tuː] [spiːk] [ˈɪŋglɪʃ] [kəˈrɛktli] | Я хочу говорить по-английски правильно
I want to improve my grammar | [aɪ] [wɒnt] [tuː] [ɪmˈpruːv] [maɪ] [ˈgræmə] | Я хочу улучшить свою грамматику
I want to speak English without mistakes | [aɪ] [wɒnt] [tuː] [spiːk] [ˈɪŋglɪʃ] [wɪˈðaʊt] [mɪsˈteɪks] | Я хочу говорить по-английски без ошибок
I want to speak English better | [aɪ] [wɒnt] [tuː] [spiːk] [ˈɪŋglɪʃ] [ˈbɛtə] | Я хочу говорить по-английски лучше
I want to improve my English | [aɪ] [wɒnt] [tuː] [ɪmˈpruːv] [maɪ] [ˈɪŋglɪʃ] | Я хочу улучшить мой английский
I really want to know it | [aɪ] [ˈrɪəli] [wɒnt] [tuː] [nəʊ] [ɪt] | Я действительно хочу это знать
I want to know it | [aɪ] [wɒnt] [tuː] [nəʊ] [ɪt] | Я хочу знать это
She wants to do it | [ʃiː] [wɒnts] [tuː] [duː] [ɪt] | Она хочет сделать это
I want to do it | [aɪ] [wɒnt] [tuː] [duː] [ɪt] | Я хочу сделать это
I really want it | [aɪ] [ˈrɪəli] [wɒnt] [ɪt] | Я действительно это хочу
I want a new flat | [aɪ] [wɒnt] [ə] [njuː] [flæt] | Я хочу новую квартиру
I want a good car | [aɪ] [wɒnt] [ə] [gʊd] [kɑː] | Я хочу хорошую машину
I want a new computer | [aɪ] [wɒnt] [ə] [njuː] [kəmˈpjuːtə] | Я хочу новый компьютер
I want this dress | [aɪ] [wɒnt] [ðɪs] [drɛs] | Я хочу это платье
I want this computer | [aɪ] [wɒnt] [ðɪs] [kəmˈpjuːtə] | Я хочу этот компьютер
I want this thing | [aɪ] [wɒnt] [ðɪs] [θɪŋ] | Я хочу эту вещь
I want it | [aɪ] [wɒnt] [ɪt] | Я хочу это
I live in this city | [aɪ] [lɪv] [ɪn] [ðɪs] [ˈsɪti] | Я живу в этом городе
We live in this country | [wiː] [lɪv] [ɪn] [ðɪs] [ˈkʌntri] | Мы живём в этой стране
We live here | [wiː] [lɪv] [hɪə] | Мы живём здесь
You speak English very well | [juː] [spiːk] [ˈɪŋglɪʃ] [ˈvɛri] [wɛl] | Ты говоришь по-английски очень хорошо
We remember it | [wiː] [rɪˈmɛmbər] [ɪt] | Мы помним это
They go to work | [ðeɪ] [gəʊ] [tuː] [wɜːk] | Они ходят на работу
They help me | [ðeɪ] [hɛlp] [miː] | Они помогают мне
You know it | [juː] [nəʊ] [ɪt] | Ты знаешь это
You see it | [juː] [siː] [ɪt] | Ты видишь это
We speak English | [wiː] [spiːk] [ˈɪŋglɪʃ] | Мы говорим по-английски
We understand you | [wiː] [ˌʌndəˈstænd] [juː] | Мы понимаем тебя
I remember it very well | [aɪ] [rɪˈmɛmbər] [ɪt] [ˈvɛri] [wɛl] | Я помню это очень хорошо
I remember it | [aɪ] [rɪˈmɛmbər] [ɪt] | Я помню это
I see it | [aɪ] [siː] [ɪt] | Я вижу это
I think so | [aɪ] [θɪŋk] [səʊ] | Я думаю так
I have a car | [aɪ] [hæv] [ə] [kɑː] | У меня есть машина
I have a sister | [aɪ] [hæv] [ə] [ˈsɪstə] | У меня есть сестра
I have an idea | [aɪ] [hæv] [ən] [aɪˈdɪə] | У меня есть идея
I have a brother | [aɪ] [hæv] [ə] [ˈbrʌðə] | У меня есть брат
I go to work | [aɪ] [gəʊ] [tuː] [wɜːk] | Я хожу на работу
Speak English | [spiːk] [ˈɪŋglɪʃ] | Говорить на английском языке
I go to school | [aɪ] [gəʊ] [tuː] [skuːl] | Я хожу в школу
I speak English | [aɪ] [spiːk] [ˈɪŋglɪʃ] | Я говорю по-английски
I live in Russia | [aɪ] [lɪv] [ɪn] [ˈrʌʃə] | Я живу в России
I know it very well | [aɪ] [nəʊ] [ɪt] [ˈvɛri] [wɛl] | Я знаю это очень хорошо
I know it | [aɪ] [nəʊ] [ɪt] | Я знаю это
I understand you | [aɪ] [ˌʌndəˈstænd] [juː] | Я понимаю тебя
I understand | [aɪ] [ˌʌndəˈstænd] | Я понимаю
I / We / You / They work | [aɪ] / [wiː] / [juː] / [ðeɪ] [wɜːk] | Я / Мы / Ты / Они работают
I work here | [aɪ] [wɜːk] [hɪə] | Я работаю здесь
I study | [aɪ] [ˈstʌdi] | Я учусь
It really happens | [ɪt] [ˈrɪəli] [ˈhæpənz] | Это на самом деле происходит
She wants more practice | [ʃiː] [wɒnts] [mɔː] [ˈpræktɪs] | Она хочет больше практики
He wants more | [hiː] [wɒnts] [mɔː] | Он хочет большего
It happens | [ɪt] [ˈhæpənz] | Это случается
He sees that mistake | [hiː] [siːz] [ðæt] [mɪsˈteɪk] | Он видит ту ошибку
She sees this mistake | [ʃiː] [siːz] [ðɪs] [mɪsˈteɪk] | Она видит эту ошибку
It looks strange | [ɪt] [lʊks] [streɪnʤ] | Это выглядит странным
She reads English books | [ʃiː] [riːdz] [ˈɪŋglɪʃ] [bʊks] | Она читает английские книги
He reads in English | [hiː] [riːdz] [ɪn] [ˈɪŋglɪʃ] | Он читает на английском
It seems interesting | [ɪt] [siːmz] [ˈɪntrɪstɪŋ] | Это кажется интересным
It looks interesting | [ɪt] [lʊks] [ˈɪntrɪstɪŋ] | Это выглядит интересным
It really helps me | [ɪt] [ˈrɪəli] [hɛlps] [miː] | Это на самом деле помогает мне
She speaks English very well | [ʃiː] [spiːks] [ˈɪŋglɪʃ] [ˈvɛri] [wɛl] | Она говорит по-английски очень хорошо
She lives in that place | [ʃiː] [lɪvz] [ɪn] [ðæt] [pleɪs] | Она живёт в том месте
She remembers it | [ʃiː] [rɪˈmɛmbəz] [ɪt] | Она помнит это
She lives in this place | [ʃiː] [lɪvz] [ɪn] [ðɪs] [pleɪs] | Она живёт в этом месте
He lives in this house | [hiː] [lɪvz] [ɪn] [ðɪs] [haʊs] | Он живёт в этом доме
He thinks so | [hiː] [θɪŋks] [səʊ] | Он думает так
He also works here | [hiː] [ˈɔːlsəʊ] [wɜːks] [hɪə] | Он также работает здесь
It helps me | [ɪt] [hɛlps] [miː] | Это помогает мне
I feel happy | [aɪ] [fiːl] [ˈhæpi] | Я испытываю счастье
She feels happy | [ʃiː] [fiːlz] [ˈhæpi] | Она чувствует себя счастливой
He lives there | [hiː] [lɪvz] [ðeə] | Он живёт там
They study very hard | [ðeɪ] [ˈstʌdi] [ˈvɛri] [hɑːd] | Они учатся очень усердно
You work very hard | [juː] [wɜːk] [ˈvɛri] [hɑːd] | Ты работаешь очень усердно
We want it | [wiː] [wɒnt] [ɪt] | Мы хотим это
I love you | [aɪ] [lʌv] [juː] | Я люблю тебя
He sometimes plays computer games | [hiː] [ˈsʌmtaɪmz] [pleɪz] [kəmˈpjuːtə] [geɪmz] | Он иногда играет в компьютерные игры
He tries to find a job | [hiː] [traɪz] [tuː] [faɪnd] [ə] [ʤɒb] | Он пытается найти работу
She tries to learn English | [ʃiː] [traɪz] [tuː] [lɜːn] [ˈɪŋglɪʃ] | Она пытается выучить английский
He tries to do it | [hiː] [traɪz] [tuː] [duː] [ɪt] | Он пытается сделать это
She usually has a rest at home | [ʃiː] [ˈjuːʒʊəli] [hæz] [ə] [rɛst] [æt] [həʊm] | Она обычно отдыхает дома
He always finishes his word on time | [hiː] [ˈɔːlweɪz] [ˈfɪnɪʃɪz] [hɪz] [wɜːd] [ɒn] [taɪm] | Он всегда заканчивает свою работу вовремя
He misses you | [hiː] [ˈmɪsɪz] [juː] | Он скучает по тебе
He teaches English | [hiː] [ˈtiːʧɪz] [ˈɪŋglɪʃ] | Он преподаёт английский
She watches TV | [ʃiː] [ˈwɒʧɪz] [ˌtiːˈviː] | Она смотрит телевизор
He has an offer | [hiː] [hæz] [ən] [ˈɒfə] | У него есть предложение
She has an interesting idea | [ʃiː] [hæz] [ən] [ˈɪntrɪstɪŋ] [aɪˈdɪə] | У неё интересная идея
He has money | [hiː] [hæz] [ˈmʌni] | У него есть деньги
He has dollars | [hiː] [hæz] [ˈdɒləz] | У него есть доллары
She has a cat | [ʃiː] [hæz] [ə] [kæt] | У неё есть кошка
Go to the cinema | [gəʊ] [tuː] [ðə] [ˈsɪnəmə] | Ходить в кино
Go to the park | [gəʊ] [tuː] [ðə] [pɑːk] | Ходить в парк
He has a dog | [hiː] [hæz] [ə] [dɒg] | У него есть собака
She has a car | [ʃiː] [hæz] [ə] [kɑː] | У неё есть машина
He has a house | [hiː] [hæz] [ə] [haʊs] | У него есть дом
She does it very well | [ʃiː] [dʌz] [ɪt] [ˈvɛri] [wɛl] | Она делает это очень хорошо
She often goes to the park | [ʃiː] [ˈɒf(ə)n] [gəʊz] [tuː] [ðə] [pɑːk] | Она часто ходит в парк
She goes to school | [ʃiː] [gəʊz] [tuː] [skuːl] | Она ходит в школу
He does it every day | [hiː] [dʌz] [ɪt] [ˈɛvri] [deɪ] | Он делает это каждый день
He goes to work | [hiː] [gəʊz] [tuː] [wɜːk] | Он ходит на работу
She knows it | [ʃiː] [nəʊz] [ɪt] | Она знает это
My father usually comes home late | [maɪ] [ˈfɑːðə] [ˈjuːʒʊəli] [kʌmz] [həʊm] [leɪt] | Мой отец обычно приходит домой поздно
My teacher usually comes to work early | [maɪ] [ˈtiːʧə] [ˈjuːʒʊəli] [kʌmz] [tuː] [wɜːk] [ˈɜːli] | Мой учитель обычно приходит на работу рано
My best friend always helps me | [maɪ] [bɛst] [frɛnd] [ˈɔːlweɪz] [hɛlps] [miː] | Мой лучший друг всегда помогает мне
Sometimes | [ˈsʌmtaɪmz] | Иногда, временами
My friends sometimes say it | [maɪ] [frɛndz] [ˈsʌmtaɪmz] [seɪ] [ɪt] | Мои друзья иногда говорят это
My friend always supports me | [maɪ] [frɛnd] [ˈɔːlweɪz] [səˈpɔːts] [miː] | Мой друг всегда поддерживает меня
My girlfriend loves me very much | [maɪ] [ˈgɜːlˌfrɛnd] [lʌvz] [miː] [ˈvɛri] [mʌʧ] | Моя девушка очень сильно меня любит
My boyfriend loves me very much | [maɪ] [ˈbɔɪˌfrɛnd] [lʌvz] [miː] [ˈvɛri] [mʌʧ] | Мой парень любить меня очень сильно
My girlfriend feels happy | [maɪ] [ˈgɜːlˌfrɛnd] [fiːlz] [ˈhæpi] | Моя девушка чувствует себя счастливой
He has a company. Its profit seems so big | [hiː] [hæz] [ə] [ˈkʌmpəni]. [ɪts] [ˈprɒfɪt] [siːmz] [səʊ] [bɪg] | У него есть компания. Её прибыль кажется такой большой
Her brother often says it | [hɜː] [ˈbrʌðər] [ˈɒf(ə)n] [sɛz] [ɪt] | Её брат часто говорит это
His father has a car | [hɪz] [ˈfɑːðə] [hæz] [ə] [kɑː] | У его отца есть машина
Their ideas seem so interesting | [ðeər] [aɪˈdɪəz] [siːm] [səʊ] [ˈɪntrɪstɪŋ] | Их идеи кажутся такими интересными
Out mother thinks the same | [aʊt] [ˈmʌðə] [θɪŋks] [ðə] [seɪm] | Наша мама думает также
I understand everything | [aɪ] [ˌʌndəˈstænd] [ˈɛvrɪθɪŋ] | Я всё понимаю
My boss usually checks all the information | [maɪ] [bɒs] [ˈjuːʒʊəli] [ʧɛks] [ɔːl] [ði] [ˌɪnfəˈmeɪʃən] | Мой босс обычно проверяет всю информацию
My boss usually reads all the documents | [maɪ] [bɒs] [ˈjuːʒʊəli] [riːdz] [ɔːl] [ðə] [ˈdɒkjʊmənts] | Мой босс как правило читает все документы
My boss knows everything | [maɪ] [bɒs] [nəʊz] [ˈɛvrɪθɪŋ] | Мой босс знает всё
My friend has a car | [maɪ] [frɛnd] [hæz] [ə] [kɑː] | У моего друга есть машина
My parents know it | [maɪ] [ˈpeərənts] [nəʊ] [ɪt] | Мои родители знают это
My sister lives there | [maɪ] [ˈsɪstə] [lɪvz] [ðeə] | Моя сестра живёт там
My brother wants it | [maɪ] [ˈbrʌðə] [wɒnts] [ɪt] | Мой брат хочет это
Your lessons really help | [jɔː] [ˈlɛsnz] [ˈrɪəli] [hɛlp] | Твои уроки на самом деле помогают
These lessons help me | [ðiːz] [ˈlɛsnz] [hɛlp] [miː] | Эти уроки помогают мне
This lesson helps me | [ðɪs] [ˈlɛsn] [hɛlps] [miː] | Этот урок помогает мне
This lesson seems interesting | [ðɪs] [ˈlɛsn] [siːmz] [ˈɪntrɪstɪŋ] | Этот урок кажется интересным
I see its success | [aɪ] [siː] [ɪts] [səkˈsɛs] | Я вижу её (компании) успех
Her words seem strange | [hɜː] [wɜːdz] [siːm] [streɪnʤ] | Её слова кажутся странными
His idea seems very interesting | [hɪz] [aɪˈdɪə] [siːmz] [ˈvɛri] [ˈɪntrɪstɪŋ] | Его идея кажется очень интересной
Their offer seems really strange | [ðeər] [ˈɒfə] [siːmz] [ˈrɪəli] [streɪnʤ] | Их предложение кажется действительно странным
All your ideas seems interesting | [ɔːl] [jɔːr] [aɪˈdɪəz] [siːmz] [ˈɪntrɪstɪŋ] | Все твои идеи кажутся интересными
Our boss knows it | [ˈaʊə] [bɒs] [nəʊz] [ɪt] | Наш босс знает это
My friend thinks the same | [maɪ] [frɛnd] [θɪŋks] [ðə] [seɪm] | Мой друг думает также
My friend thinks so | [maɪ] [frɛnd] [θɪŋks] [səʊ] | Мой друг думает так
He has an idea | [hiː] [hæz] [ən] [aɪˈdɪə] | У него есть идея
She always does it very well | [ʃiː] [ˈɔːlweɪz] [dʌz] [ɪt] [ˈvɛri] [wɛl] | Она всегда делает это очень хорошо
He goes to school | [hiː] [gəʊz] [tuː] [skuːl] | Он ходит в школу
I understand those persons | [aɪ] [ˌʌndəˈstænd] [ðəʊz] [ˈpɜːsnz] | Я понимаю тех людей
I see these mistakes | [aɪ] [siː] [ðiːz] [mɪsˈteɪks] | Я вижу эти ошибки
I understand that person | [aɪ] [ˌʌndəˈstænd] [ðæt] [ˈpɜːsn] | Я понимаю того человека
I see this mistake | [aɪ] [siː] [ðɪs] [mɪsˈteɪk] | Я вижу эту ошибку
It looks so interesting | [ɪt] [lʊks] [səʊ] [ˈɪntrɪstɪŋ] | Это выглядит таким интересным
He knows this thing | [hiː] [nəʊz] [ðɪs] [θɪŋ] | Он знает эту вещь
They often go to the cinema | [ðeɪ] [ˈɒf(ə)n] [gəʊ] [tuː] [ðə] [ˈsɪnəmə] | Они часто ходят в кино
You always say it | [juː] [ˈɔːlweɪz] [seɪ] [ɪt] | Ты всегда говоришь это
We often do it | [wiː] [ˈɒf(ə)n] [duː] [ɪt] | Мы часто делаем это
I have a family | [aɪ] [hæv] [ə] [ˈfæmɪli] | У меня есть семья
